Genome	Domain	Phylum	Class	Order	Family	Genus	Species	GC Content	Genome Length
MGYG000000185	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Butyricicoccaceae	Agathobaculum	Agathobaculum butyriciproducens	53.24	3231072
MGYG000000186	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Holdemanella	Holdemanella sp003458715	33.97	2274946
MGYG000000187	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	Lachnospira sp003537285	37.75	2804290
MGYG000000188	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp003462685	59.84	2273044
MGYG000000189	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus	Coprococcus sp900066115	41.5	2889150
MGYG000000190	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-127	CAG-127 sp900319515	44.04	2845821
MGYG000000191	Bacteria	Firmicutes	Bacilli	Bacillales_B	Bacillaceae_C	Weizmannia	Weizmannia coagulans	47.42	2910400
MGYG000000192	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Holdemania	Holdemania filiformis	50.06	3744856
MGYG000000193	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	KLE1615	KLE1615 sp900066985	41.46	4116467
MGYG000000194	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA9502	UBA9502 sp003478505	48.42	3575329
MGYG000000195	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii_E	56.23	3389503
MGYG000000196	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides thetaiotaomicron	43.19	6397762
MGYG000000197	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp003458415	59.89	2366902
MGYG000000198	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	Enterocloster citroniae	49.48	6476507
MGYG000000199	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus parasanguinis_B	42.2	2066544
MGYG000000200	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	Blautia_A sp003471165	41.23	4193207
MGYG000000201	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	Blautia_A sp900066145	43.94	4594075
MGYG000000202	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	AF33-28	AF33-28 sp003477885	49.77	5162566
MGYG000000203	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Butyricimonas	Butyricimonas virosa	42.32	4537596
MGYG000000204	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_G	Eubacterium_G sp000435815	33.43	2669882
MGYG000000205	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-81	CAG-81 sp900066535	47.98	3701123
MGYG000000206	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium_B	Lachnoclostridium_B sp900066555	43.24	2953222
MGYG000000207	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp002232035	59.82	2229519
MGYG000000208	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_G	Eubacterium_G ventriosum	34.42	2761423
MGYG000000209	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_F	Eubacterium_F sp003491505	40.28	3107801
MGYG000000210	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella		59.71	2261682
MGYG000000211	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp900556215	42.35	6486514
MGYG000000212	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	Blautia_A obeum	41.27	3683553
MGYG000000213	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	Blautia_A sp003477525	42.2	4347292
MGYG000000214	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella dispar_A	38.75	2033458
MGYG000000215	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella stercorea	48.9	3117648
MGYG000000216	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	Blautia_A sp003474435	42.99	3676052
MGYG000000217	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor sp900066565	46.57	3654385
MGYG000000218	Bacteria	Firmicutes_C	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus provencensis	53.28	2599783
MGYG000000219	Bacteria	Firmicutes_A	Clostridia	Eubacteriales	Eubacteriaceae	Eubacterium	Eubacterium maltosivorans	47.56	4239024
MGYG000000220	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Butyricicoccaceae	AM07-15	AM07-15 sp003477405	55.31	3018774
MGYG000000221	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides bouchesdurhonensis	40.48	3481777
MGYG000000222	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides sp003473295	41.54	4189784
MGYG000000223	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	NSJ-61	NSJ-61 sp003433845	35.25	4368209
MGYG000000224	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp003545565	44.18	3747128
MGYG000000225	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Duodenibacillus	Duodenibacillus sp003472385	55.62	2227305
MGYG000000226	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis	34.9	2363031
MGYG000000227	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sonorensis	45.03	4783145
MGYG000000228	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp900544115	59.79	2360516
MGYG000000229	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-317	CAG-317 sp000433215	41.42	2785699
MGYG000000230	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus petauri	38.32	1982357
MGYG000000231	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus	Coprococcus eutactus_A	43.8	3050452
MGYG000000232	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp902364645	59.94	2317847
MGYG000000233	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-81	CAG-81 sp900066785	48.81	3326062
MGYG000000234	Bacteria	Firmicutes	Bacilli	Lactobacillales	Vagococcaceae	Vagococcus	Vagococcus teuberi	33.86	2258161
MGYG000000235	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter kobei	55.12	4918299
MGYG000000236	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides fragilis_A	43.39	5355248
MGYG000000237	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp003470665	59.96	2323210
MGYG000000238	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_D	Enterococcus_D casseliflavus	42.41	3499862
MGYG000000239	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp003471585	59.66	2298820
MGYG000000240	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Amedibacterium	Amedibacterium intestinale	33.75	2626298
MGYG000000241	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio legallii	62.85	2655841
MGYG000000242	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	Enterocloster sp000431375	44.08	3795623
MGYG000000243	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola massiliensis	42.1	3948010
MGYG000000244	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Catenibacterium	Catenibacterium sp000437715	33.78	2464025
MGYG000000245	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	Roseburia sp003470905	41.66	4145911
MGYG000000246	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pasteurianus	37.29	2159822
MGYG000000247	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella intestinalis	62.61	1726565
MGYG000000248	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella cibaria	44.77	2506353
MGYG000000249	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter	Mediterraneibacter faecis	40.48	3112119
MGYG000000250	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	TF01-11	TF01-11 sp001414325	36.73	3613665
MGYG000000251	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Fusicatenibacter	Fusicatenibacter saccharivorans	47.09	3784784
MGYG000000252	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	Blautia_A obeum_B	42.28	3617583
MGYG000000253	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Holdemanella	Holdemanella sp002299315	34.58	2516774
MGYG000000254	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Odoribacter	Odoribacter splanchnicus	43.61	4497091
MGYG000000255	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-81	CAG-81 sp900066055	48.23	3382629
MGYG000000256	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella_B	Olsenella_B sp000752675	62.45	2471397
MGYG000000257	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp900540855	59.72	2328499
MGYG000000258	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Ruminococcus_E	Ruminococcus_E bromii_B	40.89	2177950
MGYG000000259	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA9502	UBA9502 sp003480315	48.71	3217602
MGYG000000260	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp003469205	59.75	2309823
MGYG000000261	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp003469185	59.5	2229028
MGYG000000262	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Anaerobutyricum	Anaerobutyricum hallii	38.26	3404640
MGYG000000263	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	Blautia_A sp900066335	43.61	3713821
MGYG000000264	Bacteria	Firmicutes	Bacilli	Exiguobacterales	Exiguobacteraceae	Exiguobacterium	Exiguobacterium sp003467445	51.21	2830712
MGYG000000265	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides nordii	40.27	5489753
MGYG000000266	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp003437035	59.74	2354539
MGYG000000267	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Absicoccus	Absicoccus sp000434355	37.85	1820133
MGYG000000268	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Schaedlerella	Schaedlerella sp900066545	38.1	3371135
MGYG000000269	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Faecalibacillus	Faecalibacillus sp003480255	30.36	2159993
MGYG000000270	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp003469205	59.72	2282570
MGYG000000271	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	Roseburia sp900552665	40.99	4009104
MGYG000000272	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella hominis	43.01	3992130
MGYG000000273	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola coprophilus	45.54	3493311
MGYG000000274	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA9502	UBA9502 sp003506385	47.96	3653786
MGYG000000275	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp002232035	59.66	2352650
MGYG000000276	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Megasphaeraceae	Caecibacter	Caecibacter sp003467125	49.27	2876808
MGYG000000277	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mutans	36.74	2020615
MGYG000000278	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA3402	UBA3402 sp003478355	45.84	4339245
MGYG000000279	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella sp003463825	38.73	2006151
MGYG000000280	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	AM51-8	AM51-8 sp003478275	44.95	2599910
MGYG000000281	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium_A	Lachnoclostridium_A sp003464085	46.21	4360356
MGYG000000282	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	TF01-11	TF01-11 sp003524945	45.52	3383570
MGYG000000283	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp900755685	59.73	1530282
MGYG000000284	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides sp900540715	43.14	5935659
MGYG000000285	Bacteria	Firmicutes_B	Peptococcia	Peptococcales	Peptococcaceae	UBA7185	UBA7185 sp900556545	42.9	2408444
MGYG000000286	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	CAG-274			28.23	1017072
MGYG000000287	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Robinsoniella	Robinsoniella sp900539655	41.47	7249439
MGYG000000288	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp900541145	60.13	2089424
MGYG000000289	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella buccae	51.55	3001000
MGYG000000290	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp900540995	60.17	2102511
MGYG000000291	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	CAG-1427	CAG-1427 sp900547965	53.39	1703578
MGYG000000292	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp900551635	59.84	1801546
MGYG000000293	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella sp900556785	38.53	1677303
MGYG000000294	Bacteria	Firmicutes_C	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium_A	Phascolarctobacterium_A sp900544885	39.63	1781860
MGYG000000295	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Clostridium_E	Clostridium_E sporosphaeroides	54.25	2812533
MGYG000000296	Bacteria	Firmicutes_A	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Peptostreptococcus	Peptostreptococcus anaerobius	35.9	1868390
MGYG000000297	Bacteria	Firmicutes	Bacilli	RF39	UBA660	UBA7057	UBA7057 sp900543675	31.53	1541132
MGYG000000298	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus		39.53	1627980
MGYG000000299	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Pauljensenia	Pauljensenia sp900541895	55.77	1835106
MGYG000000300	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	CAG-1427		59.4	1294904
MGYG000000301	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	Blautia_A sp900541985	44.14	2679417
MGYG000000302	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp900540905	60.16	2151766
MGYG000000303	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Varibaculum	Varibaculum cambriense_A	52.68	2213433
MGYG000000304	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	CAG-1427	CAG-1427 sp900542525	53.08	1613120
MGYG000000305	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	RF16	RF16 sp900542355	48.26	2446714
MGYG000000307	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Micrococcaceae	Rothia	Rothia mucilaginosa	59.54	2184222
MGYG000000308	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Pauljensenia	Pauljensenia sp001064145	65.25	1974388
MGYG000000309	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp900755685	60.29	2008488
MGYG000000310	Bacteria	Firmicutes_C	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium_A	Phascolarctobacterium_A sp900552855	41.04	1785527
MGYG000000311	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella sp900550175	38.45	1913729
MGYG000000312	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eisenbergiella	Eisenbergiella sp900539715	48.18	2782709
MGYG000000313	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella vaginalis	64.45	1450348
MGYG000000314	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp900550355	59.72	2037187
MGYG000000315	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	UMGS951	UMGS951 sp900547585	40.99	1984931
MGYG000000316	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	UBA945	UBA945 sp900549675	40.48	2303090
MGYG000000317	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Haemophilus_D	Haemophilus_D parainfluenzae	39.23	2151510
MGYG000000318	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus infantis_I	39.69	1498040
MGYG000000319	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Pygmaiobacter	Pygmaiobacter massiliensis	49.68	2608342
MGYG000000320	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp900540945	59.71	2132138
MGYG000000321	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp900549355	60	1964511
MGYG000000322	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Odoribacter	Odoribacter sp900544025	44.48	3470887
MGYG000000323	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_D	Enterococcus_D sp002850555	42.65	3361404
MGYG000000324	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp900549245	59.95	1991867
MGYG000000325	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-95		43.77	3194566
MGYG000000326	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Micrococcaceae	Rothia	Rothia terrae	53.46	2307278
MGYG000000327	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp900540985	59.86	1681373
MGYG000000328	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	CAG-272	CAG-272	CAG-272 sp900556615	43.9	1880403
MGYG000000330	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus parabuchneri	43.61	2487416
MGYG000000331	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp900544995	60	2076395
MGYG000000332	Bacteria	Firmicutes	Bacilli	RF39	UBA660	CAG-605	CAG-605 sp000433255	29.33	1262091
MGYG000000333	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp002232035	60.09	2036327
MGYG000000334	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	UBA5446		63.47	2196649
MGYG000000335	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_G	Enterococcus_G italicus	39.87	1887038
MGYG000000336	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Varibaculum		53.76	1244397
MGYG000000337	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Morganella	Morganella morganii_B	50.75	3835549
MGYG000000338	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Succinivibrionaceae	Anaerobiospirillum	Anaerobiospirillum sp900543125	39.51	3410865
MGYG000000339	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	UBA9475		59.32	1808008
MGYG000000342	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Oxalobacter		53.02	990972
MGYG000000343	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Odoribacter	Odoribacter sp900548135	41.08	3841231
MGYG000000344	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	Borkfalkiaceae	QALS01	QALS01 sp900555925	48.09	2550499
MGYG000000345	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	UBA1829	UBA1829	UBA1829 sp002338895	56.45	3773289
MGYG000000346	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae			43.77	2294646
MGYG000000347	Bacteria	Firmicutes	Bacilli	ML615J-28	CAG-698	Tener-01	Tener-01 sp001940985	28.63	1763421
MGYG000000348	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-485		54.23	2655711
MGYG000000349	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	CAG-917	CAG-1138	CAG-1138 sp000434675	49.05	1402736
MGYG000000350	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	CAG-272			45.44	1589625
MGYG000000351	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	CAG-521		47.93	1843595
MGYG000000352	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	CAG-272	UBA1740		60.02	1338316
MGYG000000353	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	UBA7173	UBA7173 sp900548705	53.49	2738445
MGYG000000354	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-485	CAG-485 sp001701295	48.15	2905675
MGYG000000355	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides		44.81	2806154
MGYG000000356	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	VUNI01		42.17	2991584
MGYG000000357	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-873		51.14	2815297
MGYG000000358	Bacteria	Elusimicrobiota	Elusimicrobia	Elusimicrobiales	Elusimicrobiaceae	UBA1436	UBA1436 sp002329395	54.03	1561461
MGYG000000359	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA7182		45.67	2647452
MGYG000000360	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	UBA1829	UBA1829	UBA1829 sp900548385	53.41	4492877
MGYG000000361	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	VSOB01		45.94	1916694
MGYG000000362	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	CAG-115	CAG-115 sp003531585	53.18	2638970
MGYG000000363	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	Zag1	Zag1 sp001917115	34.05	2012818
MGYG000000364	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus	Coprococcus sp900767685	42.27	3039243
MGYG000000365	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-269	CAG-269 sp900556695	26.15	1394461
MGYG000000366	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	CAG-382	UMGS882	UMGS882 sp900757905	49.28	2815847
MGYG000000367	Bacteria	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	QAKD01	QAKD01 sp003343965	44	1764233
MGYG000000368	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	F23-B02	F23-B02 sp004553495	53.8	1707423
MGYG000000369	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-170	CAG-170 sp003516765	57.4	1959873
MGYG000000370	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-170	CAG-170 sp900545925	56.16	2729121
MGYG000000371	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	CAG-272	CAG-390	CAG-390 sp003523225	51.66	2427904
MGYG000000372	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-273	CAG-273 sp003507395	27.59	1318863
MGYG000000373	Bacteria	Firmicutes_A	Clostridia	UBA1212	UBA1255	UMGS1537	UMGS1537 sp900761045	49.66	2809464
MGYG000000374	Bacteria	Firmicutes	Bacilli	RFN20	CAG-631	CAG-631	CAG-631 sp900762575	26.52	1601144
MGYG000000375	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-269		25.85	1473545
MGYG000000376	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	UBA1103		44.9	685078
MGYG000000377	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	UMGS1766		61.76	2320618
MGYG000000378	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae			52.05	2604862
